arm,L,polarity,tick,source_index,source_x,source_y,source_z,activity,field_norm2,wave_norm2,mean_radius,near_activity,near_fraction,leading_activity,trailing_activity,transverse_activity,leading_fraction,trailing_fraction,transverse_fraction,radial_alignment,signed_source_divergence,manifested_count,max_support_radius,exact_tick_energy,relative_release_energy_drift,movement_events,reaction_events,valid
stationary_plus,65,1,17,137312,32,32,32,0.012248833147312854,0.020504467319190978,0.0062324708174251019,2.8339925721142118,0.0092088969158042999,0.75181830016392592,0.00038509020231165575,0.00038509020231166318,0.0022697558268856902,0.031438929543761214,0.031438929543761825,0.18530384074858827,0.83325277656160346,0.12729681406568949,1,17,0.011756289743713441,0,0,0,1
stationary_plus,65,1,18,137312,32,32,32,0.0093442331709001503,0.015928115770776498,0.0074374929467277626,3.4570475643646548,0.0062503681910612927,0.66890113685585406,0.00043614681280701651,0.00043614681280702491,0.0022215713542248789,0.046675506146964175,0.046675506146965078,0.2377478508502234,0.79151589196037919,0.077006967975932761,1,18,0.0087262786175451232,0,0,0,1
stationary_plus,65,1,19,137312,32,32,32,0.0079106811298098705,0.015062927343026401,0.0056190468539218637,4.0902314018082659,0.0045324385112444623,0.57295173915743425,0.00048825774342193184,0.00048825774342193602,0.0024017271317213927,0.061721327836363804,0.061721327836364331,0.30360560516981894,0.71522056938192635,0.074686286500146623,1,19,0.0064791634777016851,0,0,0,1
stationary_plus,65,1,20,137312,32,32,32,0.012663002976113568,0.019770048706247538,0.0075978099477964521,3.0916976748638518,0.0092895644830497219,0.73359885491401855,0.00053866630314325283,0.0005386663031432705,0.0022961058867775443,0.042538590898173835,0.04253859089817523,0.18132396328964992,0.68402723424561496,0.12038833033309163,1,20,0.0083320800069706449,0,0,0,1
stationary_plus,65,1,21,137312,32,32,32,0.014182609809295777,0.023073260751273444,0.0058864365156294169,2.9945133507648798,0.010657127014969488,0.75142214009049557,0.00058948086130578112,0.00058948086130580324,0.0023465210717150877,0.04156363809144737,0.041563638091448932,0.16545058372663513,0.76222327886154362,0.14213652430461562,1,21,0.011213032880284477,0,0,0,1
stationary_plus,65,1,22,137312,32,32,32,0.011178788833567628,0.018600251676187451,0.007011013276286047,3.6299951014627885,0.0074950849902395145,0.67047379656491046,0.00063929364798400779,0.00063929364798401365,0.0024051165473606435,0.057188095911100766,0.057188095911101293,0.21515001161293679,0.83151197117887454,0.10902504271761221,1,22,0.010727681053935191,0,0,0,1
stationary_plus,65,1,23,137312,32,32,32,0.0088229026266601809,0.015705150145611902,0.0066331941280821875,4.4189516730687535,0.0051271558242699643,0.58111894024277544,0.00068631789427745079,0.00068631789427744906,0.0023231110138353223,0.077788220421202744,0.07778822042120255,0.26330461891481988,0.84668012655853808,0.074578788177438807,1,22,0.0078421366830716509,0,0,0,1
stationary_plus,65,1,24,137312,32,32,32,0.0093578740267279293,0.016436582072911463,0.006276843769823303,4.4168142149409446,0.0054264191436778821,0.57987734480919084,0.00073322608286166037,0.00073322608286166286,0.0024650027173269691,0.078353916794287076,0.078353916794287354,0.26341482160226098,0.7681848442636986,0.090482796944945598,1,23,0.0070501552464561339,0,0,0,1
stationary_minus,65,-1,0,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,1,-1,0,0,0,0,1
stationary_minus,65,-1,1,137312,32,32,32,0.012770366987580004,0.010946028846497135,0.010946028846497135,1.1331688528483255,0.012770366987580004,1,0,0,0,0,0,0,1,0.12813681465428156,1,1,0.0054730144232485673,0,0,0,1
stationary_minus,65,-1,2,137312,32,32,32,0.022027193851592967,0.031351588794905377,0.0058108548197453981,1.2214498363682214,0.022027193851592967,1,0,0,0,0,0,0,0.99039510568123801,0.21356135775713592,1,2,0.014594705128662802,0,0,0,1
stationary_minus,65,-1,3,137312,32,32,32,0.013029123071783031,0.023047805518540819,0.005480104900705913,1.3867303694913391,0.013027819675191607,0.99989996283063387,0,0,1.3033965914229349e-06,0,0,0.00010003716936603973,0.9874725167904318,0.15344779038846065,1,3,0.015675794397452706,0,0,0,1
stationary_minus,65,-1,4,137312,32,32,32,0.0082152019409178281,0.01424903276687005,0.0089647733415544415,1.5653581667507854,0.0081898869038831614,0.99691851311547452,1.6019798983744166e-08,1.6019798983744166e-08,2.5282997436735111e-05,1.9500188916785636e-06,1.9500188916785636e-06,0.0030775868467465104,0.99233897229093493,0.047458079501585808,1,4,0.0085811460710193653,0,0,0,1
stationary_minus,65,-1,5,137312,32,32,32,0.0041310247342089563,0.011340638352754069,0.0037486965606391667,2.2402604263875814,0.003991154853089888,0.96614160163196128,4.8157094489379152e-07,4.8157094489379173e-07,0.00013890673922926892,0.00011657421000312815,0.00011657421000312821,0.033625249948029651,0.99449726262669869,0.043586242357063383,1,5,0.0038887097984421563,0,0,0,1
stationary_minus,65,-1,6,137312,32,32,32,0.01421695416522206,0.02004837317539029,0.0094474688138257764,1.5365871786979302,0.013823116673485084,0.97229804027219879,3.8053434039776778e-06,3.8053434039776846e-06,0.0003862268049290334,0.00026766235297335508,0.00026766235297335557,0.027166635021855314,0.93955023383488245,0.13015437978535602,1,6,0.0074208566324609516,0,0,0,1
stationary_minus,65,-1,7,137312,32,32,32,0.016380065443955358,0.026822610717712716,0.004355156087098311,1.5582690983699343,0.015682923211566887,0.95743959419614322,1.4284738327962888e-05,1.4284738327962863e-05,0.00066857275573257058,0.00087208066273229104,0.00087208066273228952,0.040816244478393715,0.97254758419283038,0.17094673657505355,1,7,0.012860712646423729,0,0,0,1
stationary_minus,65,-1,8,137312,32,32,32,0.011304087688017907,0.018364077503734668,0.0080159290245294303,1.875255823955748,0.010435924250796076,0.92319915934993446,3.3121289590961024e-05,3.3121289590961031e-05,0.00080192085803984406,0.0029300276594694933,0.0029300276594694937,0.070940785331120804,0.90841839820942483,0.1124654808586964,1,8,0.012105179592022456,0,0,0,1
stationary_minus,65,-1,9,137312,32,32,32,0.0073539869058643686,0.014203499142789542,0.0062518938971228444,2.3818517199730551,0.0063873563631948287,0.86855693992347072,5.5440403440398383e-05,5.5440403440398437e-05,0.00085574973578885698,0.0075388227025789166,0.0075388227025789236,0.11636541467138693,0.90677471207538984,0.051404846625804961,1,9,0.0069992739267392516,0,0,0,1
stationary_minus,65,-1,10,137312,32,32,32,0.0075936050162619872,0.014218776664685392,0.0060536507423665439,2.5632506852101846,0.006270913527365805,0.82581507912729335,7.673384537447558e-05,7.6733845374474984e-05,0.0011692237981472031,0.010105061457653802,0.010105061457653724,0.15397479795739533,0.86995140982641295,0.078221235818140833,1,10,0.005536624433493495,0,0,0,1
stationary_minus,65,-1,11,137312,32,32,32,0.015635558629127303,0.023296093285739138,0.0079114802756962525,1.9055198141214631,0.013846676278695928,0.88558884317066311,0.00010250720808409309,0.00010250720808409371,0.0015838679342634512,0.0065560310645462697,0.0065560310645463096,0.10129909470026109,0.80328353837334332,0.1449324179467365,1,11,0.0095313994572986203,0,0,0,1
stationary_minus,65,-1,12,137312,32,32,32,0.013801985075358328,0.023296112105153702,0.0049689247199973486,2.1261599325860656,0.011850957593627897,0.85864153083213079,0.00014033578462234819,0.00014033578462235033,0.0016703559124858634,0.010167797157881275,0.010167797157881431,0.12102287485211598,0.73759522663791344,0.14864330188945429,1,12,0.012539285866549241,0,0,0,1
stationary_minus,65,-1,13,137312,32,32,32,0.010281671619929832,0.016678349471673529,0.0082878123901344251,2.579426621039409,0.0080525053147540437,0.78319028387807998,0.00018496914451381712,0.00018496914451382137,0.0018592280161481923,0.017990182078493521,0.017990182078493934,0.18082935196493669,0.59552185697477245,0.089031479083494361,1,13,0.010151629785842466,0,0,0,1
stationary_minus,65,-1,14,137312,32,32,32,0.0070641575005092301,0.014292060482043767,0.0052837761082087835,3.4051834855722944,0.0044773542746076346,0.63381291743351953,0.00023047248527530267,0.00023047248527530362,0.0021258582553508568,0.032625615334693304,0.032625615334693443,0.30093585189707495,0.54677773015319808,0.060360580609408777,1,14,0.0063808742212299874,0,0,0,1
